Pos,ReservNr,Bedarfsmenge,BME,Material,BedTermin,BME.1,Gel,KdA-Pos,Auftrag,Angel.am,Uhrzeit
4635,3194976,1,ST,e753a3b10fc31807f9305ab62166e05e,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4636,3194976,1,ST,202f5b05257ea5c2e58d19fe99264ffd,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4637,3194976,1,ST,444265cdaa09a2ea283845f46cff3d72,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4638,3194976,1,ST,dbfb54334b7998149b028e20e634e2bb,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4639,3194976,1,ST,54671593a4dff76d9fb3d90e080b95c1,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4640,3194976,1,ST,e673fbf40c1e5f7608613e70b3a5ba23,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4641,3194976,1,ST,7a6d540dbb198b9ee369dcdb7d1480ac,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4644,3194976,1,ST,e753a3b10fc31807f9305ab62166e05e,29.07.24,ST,,0,4059175,21.06.24,17:15:42
1,3304544,1,ST,058b76f6da121f672a40eef318352b74,01.07.24,ST,X,0,4062507,21.06.24,08:05:57
4,3304544,1,ST,058b76f6da121f672a40eef318352b74,01.07.24,ST,,0,4062507,21.06.24,08:06:17
333,3281308,3,ST,9ba6bf2c5407868247b4e223b7d13d75,30.10.24,ST,,0,4061746,21.06.24,08:28:25
334,3281308,2,ST,47fbfc420c71288d35d60b06b1d818b6,30.10.24,ST,,0,4061746,21.06.24,08:28:25
335,3281308,1,ST,23d03c853bdbf8ef20007d49864f6bdf,30.10.24,ST,,0,4061746,21.06.24,08:28:25
336,3281308,1,ST,91059d7f1d325e442d7215c1f2ac7653,30.10.24,ST,,0,4061746,21.06.24,08:28:25
337,3281308,1,ST,bc42d2fbd7f5d0bef1b9f9d69cfd7552,30.10.24,ST,,0,4061746,21.06.24,08:28:25
338,3281308,1,ST,9ec9ad534465f4cfe53f311b0f1775c0,30.10.24,ST,,0,4061746,21.06.24,08:28:25
3568,3143688,30,MM,553017f6f2f0e249c8d31848f0eac53b,21.06.24,MM,,0,4057593,21.06.24,09:24:29
3569,3143688,30,MM,553017f6f2f0e249c8d31848f0eac53b,21.06.24,MM,,0,4057593,21.06.24,09:27:27
